,region-centroid-col,region-centroid-row,region-pixel-count,short-line-density-5,short-line-density-2,vedge-mean,vegde-sd,hedge-mean,hedge-sd,intensity-mean,rawred-mean,rawblue-mean,rawgreen-mean,exred-mean,exblue-mean,exgreen-mean,value-mean,saturation-mean,hue-mean,class
0,218,178,9,0.11111099999999999,0.0,0.833333,0.547722,1.11111,0.544331,59.6296,52.4444,75.2222,51.2222,-21.5556,46.7778,-25.2222,75.2222,0.318996,-2.04055,4
1,113,130,9,0.0,0.0,0.277778,0.250924,0.333333,0.36514800000000003,0.8888889999999999,0.0,2.55556,0.11111099999999999,-2.66667,5.0,-2.33333,2.55556,1.0,-2.12325,2
2,202,41,9,0.0,0.0,0.944448,0.772202,1.11111,1.0256,123.037,111.889,139.778,117.444,-33.4444,50.2222,-16.7778,139.778,0.199347,-2.29992,5
3,32,173,9,0.0,0.0,1.72222,1.7815900000000002,9.0,6.74949,43.5926,39.5556,52.8889,38.3333,-12.1111,27.8889,-15.7778,52.8889,0.266914,-1.9988599999999999,4
4,61,197,9,0.0,0.0,1.44444,1.51535,2.61111,1.92546,49.5926,44.2222,61.5556,43.0,-16.1111,35.8889,-19.7778,61.5556,0.302925,-2.0222700000000002,4
5,149,185,9,0.0,0.0,1.55556,1.06805,3.05556,1.92546,49.3333,45.3333,59.5556,43.1111,-12.0,30.6667,-18.6667,59.5556,0.275889,-1.9527700000000001,4
6,197,229,9,0.0,0.0,1.38889,1.57407,1.16667,0.566666,17.7407,14.1111,17.8889,21.2222,-10.8889,0.44444399999999995,10.4444,21.2222,0.335717,2.6516,3
7,29,111,9,0.0,0.0,0.388889,0.24074099999999998,0.611111,0.151852,5.40741,6.888889999999999,6.33333,3.0,4.44444,2.77778,-7.22222,6.888889999999999,0.564153,-0.897859,0
8,1,81,9,0.0,0.0,12.1667,267.45599999999996,9.22222,205.363,21.3333,14.0,30.5556,19.4444,-22.0,27.6667,-5.66667,30.5556,0.595282,-2.4384099999999997,2
9,69,85,9,0.11111099999999999,0.0,3.11111,8.207410000000001,3.94444,9.44074,21.4444,20.4444,28.1111,15.7778,-3.0,20.0,-17.0,28.1111,0.437404,-1.65988,0
10,152,83,9,0.0,0.0,4.44444,1.3277700000000001,0.9444440000000001,0.6804140000000001,26.5185,23.3333,33.2222,23.0,-9.55556,20.1111,-10.5556,33.2222,0.307415,-2.06324,1
11,248,153,9,0.0,0.0,0.277778,0.062963,0.11111099999999999,0.0296296,0.37037,0.0,1.11111,0.0,-1.11111,2.22222,-1.11111,1.11111,0.8888889999999999,-2.0944,6
12,137,141,9,0.0,0.0,0.055555600000000004,0.13608299999999998,0.055555600000000004,0.13608299999999998,0.037037,0.0,0.11111099999999999,0.0,-0.11111099999999999,0.22222199999999998,-0.11111099999999999,0.11111099999999999,0.11111099999999999,-2.0944,6
13,86,197,9,0.11111099999999999,0.11111099999999999,1.61111,1.45169,1.27778,1.10386,63.2222,56.2222,77.7778,55.6667,-21.0,43.6667,-22.6667,77.7778,0.285333,-2.06802,4
14,220,220,9,0.11111099999999999,0.0,2.27778,1.12963,2.27778,4.15185,6.44444,5.66667,5.33333,8.33333,-2.33333,-3.33333,5.66667,8.33333,0.427354,1.98437,3
15,207,115,9,0.0,0.0,1.05556,0.32963000000000003,0.166667,0.0333333,1.22222,0.44444399999999995,2.88889,0.333333,-2.33333,5.0,-2.66667,2.88889,0.933333,-2.06554,6
16,6,51,9,0.0,0.0,1.66667,2.0,1.61111,2.10741,19.5926,18.7778,25.6667,14.3333,-2.44444,18.2222,-15.7778,25.6667,0.44286099999999995,-1.6812900000000002,0
17,203,182,9,0.0,0.0,3.7222199999999996,2.5769599999999997,3.61111,1.70511,54.9259,49.4444,68.1111,47.2222,-16.4444,39.5556,-23.1111,68.1111,0.306722,-1.98035,4
18,243,120,9,0.0,0.0,4.44444,4.35975,1.55555,1.8338400000000001,47.8519,44.7778,56.3333,42.4444,-9.22222,25.4444,-16.2222,56.3333,0.245321,-1.9107299999999998,1
19,146,97,9,0.0,0.0,10.1111,4.5979,0.611111,0.574133,47.963,46.0,54.3333,43.5556,-5.88889,19.1111,-13.2222,54.3333,0.197115,-1.84074,1
20,184,145,9,0.0,0.0,0.722222,0.6116159999999999,0.22222199999999998,0.27216599999999996,0.555556,0.333333,1.22222,0.11111099999999999,-0.666667,2.0,-1.33333,1.22222,0.527778,-1.92094,6
21,178,128,9,0.0,0.0,0.44444399999999995,0.34074099999999996,0.8888889999999999,0.207407,5.92593,7.888889999999999,6.44444,3.44444,5.88889,1.55556,-7.444439999999999,7.888889999999999,0.563713,-0.7213,0
22,132,134,9,0.0,0.0,2.66667,3.15556,1.5,1.54444,6.18518,2.22222,11.4444,4.88889,-11.8889,15.7778,-3.88889,11.4444,0.833935,-2.3866099999999997,2
23,83,28,9,0.0,0.0,0.388889,0.136081,0.8888870000000001,0.455421,112.963,99.4444,131.111,108.333,-40.5556,54.4444,-13.8889,131.111,0.241511,-2.38788,5
24,126,237,9,0.0,0.0,0.9444440000000001,0.24074099999999998,1.0,0.488889,5.77778,4.22222,4.22222,8.88889,-4.66667,-4.66667,9.33333,8.88889,0.553812,2.0972299999999997,3
25,225,58,9,0.0,0.0,0.333334,0.421637,0.444445,0.344265,8.33333,5.55556,14.1111,5.33333,-8.33333,17.3333,-9.0,14.1111,0.622222,-2.0685599999999997,6
26,14,120,9,0.0,0.0,0.333333,0.13333299999999998,0.44444399999999995,0.296296,1.59259,0.0,3.88889,0.8888889999999999,-4.77778,6.888889999999999,-2.11111,3.88889,1.0,-2.3157200000000002,2
27,5,210,9,0.0,0.11111099999999999,2.16667,1.67,4.44444,2.6133599999999997,51.2963,45.4444,64.3333,44.1111,-17.5556,39.1111,-21.5556,64.3333,0.31756599999999996,-2.0209,4
28,79,62,9,0.0,0.0,0.555556,0.385184,0.8888870000000001,0.607405,110.185,100.667,127.111,102.77799999999999,-28.5556,50.7778,-22.2222,127.111,0.208013,-2.17815,5
29,18,83,9,0.0,0.11111099999999999,6.16667,9.98889,12.8889,28.7852,14.3704,9.0,22.6667,11.4444,-16.1111,24.8889,-8.77778,22.6667,0.6647850000000001,-2.27421,2
30,214,246,9,0.0,0.0,2.83333,1.91775,3.0,1.9888599999999999,17.5185,14.2222,15.4444,22.8889,-9.88889,-6.22222,16.1111,22.8889,0.391548,2.23285,3
31,94,140,9,0.0,0.0,0.166667,0.0333333,0.333333,0.0444444,3.03704,1.77778,6.11111,1.22222,-3.7777800000000004,9.22222,-5.44444,6.11111,0.797884,-1.98577,6
32,54,142,9,0.0,0.0,0.722222,0.827759,2.0,2.10818,1.8148099999999998,0.8888889999999999,3.66667,0.8888889999999999,-2.77778,5.55556,-2.77778,3.66667,0.7694439999999999,-2.0944,6
